from,to,weight
1,14,5
1,8,10
1,13,5
1,5,10
1,2,10
1,10,5
2,16,5
2,14,5
2,5,10
10,2,10
3,36,5
3,24,5
21,3,10
3,19,5
3,18,5
3,12,5
5,14,5
10,5,10
5,13,5
10,14,5
10,4,5
11,0,5
11,15,10
11,31,10
11,33,10
11,32,10
11,9,5
11,36,5
11,12,5
12,22,10
12,20,10
12,24,10
12,31,10
12,33,10
12,9,5
12,21,10
12,36,5
12,19,10
12,18,10
13,14,5
15,0,5
15,23,10
15,24,10
15,25,10
15,30,10
15,35,10
15,9,5
15,33,10
15,29,10
15,8,5
15,36,5
15,32,10
15,18,5
15,21,5
15,34,10
15,28,10
15,31,10
15,19,5
15,1,5
15,17,10
15,12,5
16,10,5
16,14,5
17,25,10
17,24,10
17,0,5
17,19,5
17,30,10
17,35,10
17,33,10
17,29,10
17,32,10
17,34,10
17,28,10
17,31,10
18,24,5
18,9,5
18,21,10
18,19,10
19,21,10
19,36,5
20,19,5
20,36,5
20,18,5
21,20,5
21,36,5
22,24,10
22,27,10
22,19,5
22,18,5
22,33,10
22,32,10
22,36,5
23,35,5
23,25,10
23,24,10
23,30,10
23,17,5
23,19,5
23,12,5
23,33,10
23,29,10
23,34,10
23,32,5
23,31,10
23,28,10
24,20,5
24,19,5
24,32,10
24,28,5
24,21,5
24,29,10
24,25,10
24,33,10
25,18,5
25,35,10
25,12,5
25,34,5
25,30,10
25,32,5
25,29,10
25,31,10
25,33,10
25,28,10
25,21,5
25,8,5
26,32,5
26,33,10
26,28,10
26,30,10
26,17,5
26,31,10
27,15,5
27,31,5
27,33,5
27,19,5
27,28,5
27,32,5
27,36,5
27,12,5
28,33,10
28,31,10
28,19,5
28,12,5
29,18,5
29,33,10
29,19,5
29,34,10
29,32,10
30,28,5
30,24,5
30,18,5
30,29,5
30,32,10
30,9,5
30,33,5
30,35,10
30,31,10
30,21,5
30,34,10
30,19,5
30,12,5
31,22,5
31,9,5
31,19,5
31,33,10
31,32,10
31,34,10
31,36,5
32,33,10
32,19,5
32,9,5
32,36,5
32,34,10
32,12,5
33,9,5
33,19,5
33,36,5
33,34,10
34,24,5
34,35,10
34,19,5
34,18,5
34,14,5
34,12,5
34,36,5
34,21,5
34,28,5
35,21,5
35,28,5
35,29,5
35,12,5
35,33,5
35,31,5
35,32,5
35,19,5
2,3,1
13,2,1
13,3,1
12,2,1
2,30,1
13,30,1
0,1,1
0,2,1
0,3,1
0,10,1
0,13,1
0,25,1
0,28,1
0,30,1
0,31,1
0,35,1
1,3,1
1,11,1
1,25,1
1,28,1
1,30,1
1,31,1
1,35,1
11,2,1
2,25,1
2,28,1
2,31,1
2,35,1
10,3,1
11,3,1
25,3,1
28,3,1
3,30,1
3,31,1
3,35,1
10,11,1
10,13,1
10,25,1
10,28,1
10,30,1
10,31,1
10,35,1
11,13,1
11,25,1
11,28,1
11,30,1
11,35,1
13,25,1
13,28,1
13,31,1
13,35,1
3,5,1
13,29,1
11,34,1
10,8,1
13,16,1
15,2,1
17,2,1
15,5,1
16,5,1
17,5,1
10,15,1
10,17,1
13,15,1
13,17,1
15,16,1
16,17,1
0,5,1
0,16,1
15,3,1
1,16,1
16,30,1
16,35,1
2,8,1
3,8,1
5,8,1
13,8,1
2,27,1
27,3,1
11,5,1
27,5,1
11,8,1
27,8,1
10,27,1
11,27,1
13,27,1
20,30,1
11,16,1
18,23,1
18,28,1
18,32,1
21,23,1
21,28,1
21,32,1
28,32,1
16,8,1
30,5,1
10,33,1
29,5,1
23,3,1
3,32,1
3,34,1
11,23,1
29,8,1
2,34,1
34,5,1
10,34,1
18,2,1
18,5,1
10,18,1
13,18,1
17,3,1
17,18,1
25,5,1
10,29,1
13,34,1
16,34,1
2,32,1
31,5,1
32,5,1
13,32,1
25,27,1
1,34,1
17,22,1
1,29,1
16,29,1
2,29,1
16,25,1
17,8,1
1,17,1
14,15,1
35,5,1
35,8,1
28,5,1
1,23,1
2,23,1
23,5,1
13,23,1
16,3,1
1,32,1
2,33,1
33,5,1
14,25,1
28,29,1
20,3,1
3,33,1
18,27,1
18,31,1
18,33,1
20,27,1
20,31,1
20,33,1
21,27,1
21,31,1
21,33,1
24,27,1
24,31,1
34,8,1
11,17,1
12,29,1
10,32,1
16,32,1
30,8,1
14,8,1
14,17,1
16,28,1
32,8,1
29,31,1
29,3,1
18,35,1
12,17,1
17,27,1
27,34,1
11,24,1
0,14,1
11,14,1
14,35,1
24,35,1
31,8,1
16,31,1
15,26,1
23,26,1
15,20,1
20,28,1
20,34,1
20,35,1
27,30,1
27,35,1
22,3,1
15,22,1
19,25,1
20,22,1
20,23,1
20,25,1
20,32,1
21,22,1
22,23,1
22,25,1
22,30,1
22,34,1
22,35,1
23,27,1
21,29,1
24,26,1
25,26,1
26,29,1
26,34,1
11,21,1
11,29,1
17,21,1
1,24,1
16,24,1
27,29,1
2,24,1
10,24,1
11,18,1
11,19,1
11,20,1
17,20,1
20,29,1
22,28,1
11,26,1
22,29,1
21,26,1
