id,name,followers_count,friends_count,isProxy
0,"JoeBiden",36375285,47,0
1,"shanedawson",8376363,20868,0
2,"AllyBrooke",2717574,8065,0
3,"ejhunteman",116,259,0
4,"Lord_Voldemort7",1465182,0,0
5,"dinahjane",2424240,14300,0
6,"CarlAzuz",67178,0,0
7,"NewGoalieGloves",8,0,0
8,"DavidDobrik",5162608,333,0
9,"clampo32",308,775,0
10,"LaurenJauregui",4298744,11674,0
11,"KCav32",836,777,0
12,"SparkplugSports",2171,326,0
13,"Camila_Cabello",13002472,14817,0
14,"iamcardib",25638928,114,0
15,"giannidc_",441,683,0
16,"popbuzz",17292,877,0
17,"emmadevault",281,273,0
18,"SparkplugTrack",429,180,0
19,"SHSPITCREW",445,17,0
20,"Plug_Strength",162,52,0
21,"sparkplugsoccer",172,55,0
22,"daniella_galvez",36,41,0
23,"cewhitt22",87,122,0
24,"joseeeu10",160,144,0
25,"AndrewWachter6",94,362,0
26,"relay4life46224",10,23,0
27,"BrynaStewart",12,74,0
28,"abigail_leekk",110,127,0
29,"avekonraddd",240,211,0
30,"maggie_endres",190,368,0
31,"madiiiig",285,278,0
32,"_brookehartman_",232,171,0
33,"Maddiebarnes32",288,174,0
34,"molz_g",198,323,0
35,"stina_marie02",68,250,0
36,"LadySparkplugs",258,589,0
